2026-09-25T20:00:04-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:05-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:06-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:07-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:08-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:09-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:10-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:10-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:11-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:12-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:13-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:14-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:15-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:16-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:17-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:18-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:19-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:19-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:20-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:21-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:22-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:23-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:24-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:25-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:26-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:27-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:27-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:28-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:29-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:30-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:31-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:32-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:33-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:34-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:35-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:36-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:36-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:00:37-05:00 goblin3 node[996]: MPV exited with code 2, signal null
2026-09-25T20:43:40-05:00 goblin3 node[996]: Video library scanned: 72 videos cached
2026-09-25T20:43:40-05:00 goblin3 node[996]: Video library scanned: 72 videos cached
